Topics,LDA,MGLDA,M-ASUM,TTM,APSUM
5,0.2456,0.3456,0.3789,0.5158,0.3845
10,0.2905,0.3867,0.3589,0.5789,0.4045
30,0.4415,0.5456,0.5789,0.7288,0.6589
50,0.6578,0.7678,0.7989,1.5478,1.0967
100,0.9723,1.1564,1.2847,1.6234,1.7098
150,1.0485,1.3789,1.3334,1.7311,2.0567
200,1.0678,1.2789,1.3045,1.6355,2.1234
